Key,File,Type,UsedInMainMenu,NoTranslate,english
general_tab,UI,XUI,x,,"General"
general_backupsLimit,UI,XUI,x,,"Backups Limit"
general_backupsLimitDesc,UI,XUI,x,,"Maximum number of backups"
general_customBackupsFolder,UI,XUI,x,,"Custom Backups Folder"
general_customBackupsFolderDesc,UI,XUI,x,,"Example: C:/7DaysToDie/Backups.\nThe specified folder MUST exist"
general_debugMode,UI,XUI,x,,"Debug mode"
general_debugModeDesc,UI,XUI,x,,"Write debug information to the logs/*logName*.txt file"
autoBackup_tab,UI,XUI,x,,"Auto Backup"
autoBackup_enabled,UI,XUI,x,,"Enabled"
autoBackup_enabledDesc,UI,XUI,x,,"Is auto backup enabled.\nIf this setting is disabled, you should use the `bp` command to create a backup"
autoBackup_delay,UI,XUI,x,,"Delay (seconds)"
autoBackup_delayDesc,UI,XUI,x,,"Default: 1200 (20 minutes)"
autoBackup_resetDelayTimerAfterManualBackup,UI,XUI,x,,"Reset the delay timer after a manual backup"
autoBackup_resetDelayTimerAfterManualBackupDesc,UI,XUI,x,,"Reset the delay timer after a manual backup.\nDefault: false"
autoBackup_skipIfThereAreNoPlayers,UI,XUI,x,,"Skip If Server Is Empty"
autoBackup_skipIfThereAreNoPlayersDesc,UI,XUI,x,,"Skip the next scheduled backup, if there are no players on the server.\nDefault: false"
archive_tab,UI,XUI,x,,"Archive"
archive_enabled,UI,XUI,x,,"Enabled"
archive_enabledDesc,UI,XUI,x,,"Is archive feature enabled\nToday`s last backup will be stored and won`t be deleted with `General.BackupsLimit`"
archive_backupsLimit,UI,XUI,x,,"Backups Limit"
archive_backupsLimitDesc,UI,XUI,x,,"Maximum number of backups"
archive_customArchiveFolder,UI,XUI,x,,"Custom Archive Folder"
archive_customArchiveFolderDesc,UI,XUI,x,,"Example: C:/7DaysToDie/Archive.\nThe specified folder MUST exist"
events_tab,UI,XUI,x,,"Events"
events_backupOnWorldLoaded,UI,XUI,x,,"Backup On World Loaded"
events_backupOnWorldLoadedDesc,UI,XUI,x,,"Backup when world loaded"
events_backupOnServerIsEmpty,UI,XUI,x,,"Backup On Server Is Empty"
events_backupOnServerIsEmptyDesc,UI,XUI,x,,"Backup when the last player on the server disconnected"
notifications_tab,UI,XUI,x,,"Notifications"
notificationsCountdown_category,UI,XUI,x,,"Countdown"
notificationsCountdown_categoryDesc,UI,XUI,x,,"Countdown configuration"
notifications_enabled,UI,XUI,x,,"Show Chat Notifications"
notifications_enabledDesc,UI,XUI,x,,"Are ALL chat notifications enabled"
notifications_countdownEnabled,UI,XUI,x,,"Show Countdown"
notifications_countdownEnabledDesc,UI,XUI,x,,"Are countdown chat notifications enabled"
notifications_countdownCountFrom,UI,XUI,x,,"Count From"
notifications_countdownCountFromDesc,UI,XUI,x,,"Do a countdown * seconds before backup starts"

